iter	Passed	Remaining
437	1188	1524
438	1189	1519
439	1190	1515
440	1191	1510
441	1193	1506
442	1195	1502
443	1197	1499
444	1198	1495
445	1200	1491
446	1202	1487
447	1204	1483
448	1205	1479
449	1207	1475
450	1208	1471
451	1210	1467
452	1211	1463
453	1212	1458
454	1214	1454
455	1215	1450
456	1218	1447
457	1219	1443
458	1221	1439
459	1222	1435
460	1223	1430
461	1225	1426
462	1226	1422
463	1227	1418
464	1229	1414
465	1230	1410
466	1231	1406
467	1233	1401
468	1234	1397
469	1235	1393
470	1237	1389
471	1239	1386
472	1240	1382
473	1242	1378
474	1244	1376
475	1246	1372
476	1247	1367
477	1248	1363
478	1250	1360
479	1251	1356
480	1253	1352
481	1254	1348
482	1256	1344
483	1257	1340
484	1258	1336
485	1260	1332
486	1262	1329
487	1263	1325
488	1265	1322
489	1267	1319
490	1270	1316
491	1271	1313
492	1273	1309
493	1274	1305
494	1275	1301
495	1276	1297
496	1278	1293
497	1279	1290
498	1281	1286
499	1282	1282
500	1284	1279
501	1286	1276
502	1287	1272
503	1288	1268
504	1290	1264
505	1291	1260
506	1293	1257
507	1294	1253
508	1295	1250
509	1297	1246
510	1298	1242
511	1299	1238
512	1301	1235
513	1302	1231
514	1303	1227
515	1305	1224
516	1307	1221
517	1309	1218
518	1310	1214
519	1311	1210
520	1313	1207
521	1314	1203
522	1315	1199
523	1317	1196
524	1318	1192
525	1319	1189
526	1321	1185
527	1323	1182
528	1324	1179
529	1325	1175
530	1327	1172
531	1329	1169
532	1330	1166
533	1332	1162
534	1333	1159
535	1335	1155
536	1336	1152
537	1337	1148
538	1338	1145
539	1340	1141
540	1341	1138
541	1343	1134
542	1344	1131
543	1345	1128
544	1347	1124
545	1348	1121
546	1351	1118
547	1352	1115
548	1354	1112
549	1356	1109
550	1357	1106
551	1359	1103
552	1360	1099
553	1361	1096
554	1363	1093
555	1364	1089
556	1366	1086
557	1367	1083
558	1368	1079
559	1370	1076
560	1371	1073
561	1373	1070
562	1374	1067
563	1376	1063
